name,lattice_constant,band_gap,isMetal,magnetic_moment
Cr-Cr-C-Cl-OH,3.155,0.0,True,3.7021
Cr-Cr-C-CN-Br,3.180,0.0,True,3.1953
Cr-Cr-C-CN-Cl,3.144,0.0,True,3.2888
Cr-Cr-C-CN-CN,3.112,0.0,True,3.3409
Cr-Cr-C-CN-F,3.220,0.0,True,5.9863
Cr-Cr-C-CN-H,3.061,0.0,True,3.2446
Cr-Cr-C-CN-NCO,3.126,0.0,True,3.5500
Cr-Cr-C-CN-NCS,3.151,0.0,True,3.1996
Cr-Cr-C-CN-NO,3.090,0.068,False,2.0000
Cr-Cr-C-CN-O,3.082,0.151,False,5.0000
Cr-Cr-C-CN-OCl,3.071,0.0,True,5.3843
Cr-Cr-C-CN-OCN,3.132,0.0,True,3.4261
Cr-Cr-C-CN-OH,3.128,0.0,True,3.7588
Cr-Cr-C-CN-PO,3.104,0.0,True,2.0000
Cr-Cr-C-CN-SCN,3.222,0.0,True,3.8943
Cr-Cr-C-F-Br,3.267,0.0,True,4.1269
Cr-Cr-C-F-Cl,3.246,0.0,True,5.5187
Cr-Cr-C-F-F,3.263,0.0,True,6.0000
Cr-Cr-C-F-H,3.185,0.0,True,5.9951
Cr-Cr-C-F-OCN,3.220,0.0,True,5.6338
Cr-Cr-C-F-OH,3.190,0.0,True,5.4159
Cr-Cr-C-H-H,3.012,0.0,True,3.2421
Cr-Cr-C-H-OCN,3.088,0.0,True,3.4295
Cr-Cr-C-H-OH,3.059,0.0,True,3.4340
Cr-Cr-C-NCO-Br,3.190,0.0,True,3.1951
Cr-Cr-C-NCO-Cl,3.157,0.0,True,3.2829
Cr-Cr-C-NCO-F,3.221,0.0,True,5.6953
Cr-Cr-C-NCO-H,3.089,0.0,True,2.8046
Cr-Cr-C-NCO-NCO,3.140,0.0,True,3.5363
Cr-Cr-C-NCO-NCS,3.160,0.0,True,3.1955
Cr-Cr-C-NCO-O,3.091,0.190,False,5.0000
Cr-Cr-C-NCO-OCN,3.145,0.0,True,3.2046
Cr-Cr-C-NCO-OH,3.127,0.0,True,4.6646
Cr-Cr-C-NCO-PO,3.116,0.0,True,2.0000
Cr-Cr-C-NCO-SCN,3.237,0.0,True,3.7538
Cr-Cr-C-NCS-Br,3.221,0.0,True,3.0053
Cr-Cr-C-NCS-Cl,3.185,0.0,True,3.1946
Cr-Cr-C-NCS-F,3.229,0.0,True,4.1373
Cr-Cr-C-NCS-H,3.103,0.0,True,3.3626
Cr-Cr-C-NCS-NCS,3.188,0.0,True,3.1676
Cr-Cr-C-NCS-O,3.119,0.142,False,5.0000
Cr-Cr-C-NCS-OCN,3.166,0.0,True,3.0260
Cr-Cr-C-NCS-OH,3.143,0.0,True,3.1919
Cr-Cr-C-NCS-PO,3.139,0.0,True,1.9682
Cr-Cr-C-NCS-SCN,3.276,0.0,True,3.5385
Cr-Cr-C-NO-Cl,3.137,0.0,True,4.0000
Cr-Cr-C-NO-F,3.190,0.0,True,5.4969
Cr-Cr-C-NO-H,3.041,0.0,True,1.8720
Cr-Cr-C-NO-NCO,3.117,0.0,True,4.6862
Cr-Cr-C-NO-NCS,3.141,0.0,True,4.2904
Cr-Cr-C-NO-NO,3.028,0.0,True,-0.1341
Cr-Cr-C-NO-O,3.039,0.0,True,3.0832
Cr-Cr-C-NO-OCl,3.030,0.0,True,3.4591
Cr-Cr-C-NO-OCN,3.108,0.223,False,2.0000
Cr-Cr-C-NO-OH,3.083,0.251,False,2.0000
Cr-Cr-C-NO-PO,3.058,0.116,False,-0.0000
Cr-Cr-C-O-Br,3.133,0.0,True,2.8173
Cr-Cr-C-O-Cl,3.099,0.0,True,2.7656
Cr-Cr-C-OCl-Br,3.128,0.0,True,5.3515
Cr-Cr-C-OCl-Cl,3.059,0.0,True,1.1788
Cr-Cr-C-OCl-F,3.141,0.0,True,5.3797
Cr-Cr-C-OCl-H,3.021,0.0,True,2.7558
Cr-Cr-C-OCl-NCO,3.082,0.0,True,5.3465
Cr-Cr-C-OCl-NCS,3.102,0.0,True,5.3511
Cr-Cr-C-OCl-O,3.017,0.0,True,4.3048
Cr-Cr-C-OCl-OCl,3.152,0.0,True,4.0816
Cr-Cr-C-OCl-OCN,3.063,0.0,True,0.9185
Cr-Cr-C-OCl-OH,3.061,0.0,True,5.3487
Cr-Cr-C-OCl-PO,3.190,0.0,True,4.8963
Cr-Cr-C-OCl-SCN,3.149,0.0,True,5.5497
Cr-Cr-C-OCN-OCN,3.148,0.0,True,3.8890
Cr-Cr-C-O-F,3.158,0.053,False,5.0000
Cr-Cr-C-O-H,3.011,0.0,True,2.4759
Cr-Cr-C-OH-OCN,3.129,0.0,True,4.1314
Cr-Cr-C-OH-OH,3.103,0.0,True,4.7194
Cr-Cr-C-O-O,2.910,0.0,True,4.0000
Cr-Cr-C-O-OCN,3.098,0.028,False,5.0000
Cr-Cr-C-O-OH,3.071,0.026,False,5.0000
Cr-Cr-C-PO-Br,3.167,0.0,True,2.0000
Cr-Cr-C-PO-Cl,3.131,0.0,True,2.0000
Cr-Cr-C-PO-F,3.182,0.0,True,2.0000
Cr-Cr-C-PO-H,3.061,0.0,True,1.9915
Cr-Cr-C-PO-O,3.051,0.0,True,2.1630
Cr-Cr-C-PO-OCN,3.119,0.040,False,2.0000
Cr-Cr-C-PO-OH,3.095,0.186,False,2.0000
Cr-Cr-C-PO-PO,3.072,0.0,True,-0.1071
Cr-Cr-C-SCN-Br,3.315,0.0,True,3.3436
Cr-Cr-C-SCN-Cl,3.275,0.0,True,3.4993
Cr-Cr-C-SCN-F,3.275,0.0,True,4.0000
Cr-Cr-C-SCN-H,3.171,0.0,True,3.8023
Cr-Cr-C-SCN-O,3.129,0.0,True,6.0585
Cr-Cr-C-SCN-OCN,3.232,0.0,True,3.7327
Cr-Cr-C-SCN-OH,3.222,0.0,True,3.5735
Cr-Cr-C-SCN-PO,3.196,0.0,True,1.9002
Cr-Cr-C-SCN-SCN,3.351,0.0,True,1.9056
Cr-Cr-N-Br-Br,3.276,0.0,True,2.8337
Cr-Cr-N-Br-H,3.133,0.0,True,5.3371
Cr-Cr-N-Br-OCN,3.214,0.0,True,2.8124
Cr-Cr-N-Br-OH,3.187,0.0,True,5.8504
Cr-Cr-N-Cl-Br,3.239,0.0,True,5.6073
Cr-Cr-N-Cl-Cl,3.181,0.0,True,5.7132
Cr-Cr-N-Cl-H,3.094,0.0,True,5.3829
Cr-Cr-N-Cl-OCN,3.182,0.0,True,6.0860
Cr-Cr-N-Cl-OH,3.152,0.0,True,6.0859
Cr-Cr-N-CN-Br,3.194,0.0,True,5.8498
Cr-Cr-N-CN-Cl,3.158,0.0,True,6.0944
Cr-Cr-N-CN-CN,3.042,0.0,True,5.6410
Cr-Cr-N-CN-F,3.209,0.0,True,6.1232
Cr-Cr-N-CN-H,3.068,0.0,True,5.3945
Cr-Cr-N-CN-NCO,3.135,0.0,True,6.1277
Cr-Cr-N-CN-NCS,3.165,0.0,True,6.1173
Cr-Cr-N-CN-NO,3.114,0.0,True,5.0001
Cr-Cr-N-CN-O,3.091,0.076,False,6.0000
Cr-Cr-N-CN-OCl,3.099,0.074,False,4.9999
Cr-Cr-N-CN-OCN,3.143,0.0,True,6.2022
Cr-Cr-N-CN-OH,3.117,0.0,True,6.2131
Cr-Cr-N-CN-PO,3.106,0.0,True,2.5017
Cr-Cr-N-CN-SCN,3.235,0.0,True,2.9854
Cr-Cr-N-F-Br,3.309,0.0,True,6.9527
Cr-Cr-N-F-Cl,3.268,0.0,True,6.8865
Cr-Cr-N-F-F,3.092,0.0,True,6.6953
Cr-Cr-N-F-H,3.183,0.0,True,6.6783
Cr-Cr-N-F-OCN,3.251,0.0,True,7.0000
Cr-Cr-N-F-OH,3.223,0.0,True,7.0000
Cr-Cr-N-H-H,2.869,0.0,True,4.9164
Cr-Cr-N-H-OCN,3.099,0.0,True,6.0860
Cr-Cr-N-H-OH,3.079,0.0,True,4.2887
Cr-Cr-N-NCO-Br,3.204,0.0,True,5.9913
Cr-Cr-N-NCO-Cl,3.168,0.0,True,6.0831
Cr-Cr-N-NCO-F,3.241,0.0,True,6.9366
Cr-Cr-N-NCO-H,3.089,0.0,True,5.7478
Cr-Cr-N-NCO-NCO,3.091,0.0,True,5.9226
Cr-Cr-N-NCO-NCS,3.174,0.0,True,6.0261
Cr-Cr-N-NCO-O,3.105,0.416,False,6.0000
Cr-Cr-N-NCO-OCN,3.158,0.0,True,6.1798
Cr-Cr-N-NCO-OH,3.132,0.0,True,6.1780
Cr-Cr-N-NCO-PO,3.104,0.0,True,2.9905
Cr-Cr-N-NCO-SCN,3.220,0.0,True,5.0000
Cr-Cr-N-NCS-Br,3.245,0.0,True,5.8651
Cr-Cr-N-NCS-Cl,3.198,0.0,True,5.8745
Cr-Cr-N-NCS-F,3.278,0.0,True,6.9721
Cr-Cr-N-NCS-H,3.099,0.0,True,5.2209
Cr-Cr-N-NCS-NCS,3.207,0.0,True,5.9345
Cr-Cr-N-NCS-O,3.128,0.189,False,6.0000
Cr-Cr-N-NCS-OCN,3.182,0.0,True,5.9972
Cr-Cr-N-NCS-OH,3.156,0.0,True,5.9500
Cr-Cr-N-NCS-PO,3.128,0.0,True,3.0000
Cr-Cr-N-NCS-SCN,3.262,0.0,True,5.0004
Cr-Cr-N-NO-Br,3.198,0.0,True,5.0000
Cr-Cr-N-NO-Cl,3.155,0.0,True,5.0000
Cr-Cr-N-NO-F,3.206,0.0,True,5.0000
Cr-Cr-N-NO-H,3.057,0.0,True,2.8978
Cr-Cr-N-NO-NCO,3.163,0.0,True,4.9980
Cr-Cr-N-NO-NCS,3.197,0.0,True,5.0000
Cr-Cr-N-NO-NO,3.054,0.0,True,2.2228
Cr-Cr-N-NO-O,3.055,0.0,True,2.6815
Cr-Cr-N-NO-OCl,3.051,0.0,True,4.3574
Cr-Cr-N-NO-OCN,3.171,0.0,True,4.9998
Cr-Cr-N-NO-OH,3.110,0.0,True,5.0000
Cr-Cr-N-NO-PO,3.107,0.0,True,3.3586
Cr-Cr-N-NO-SCN,3.244,0.0,True,5.0000
Cr-Cr-N-O-Br,3.154,0.237,False,6.0000
Cr-Cr-N-O-Cl,3.118,0.389,False,6.0000
Cr-Cr-N-OCl-Br,3.137,0.0,True,5.9494
Cr-Cr-N-OCl-Cl,3.102,0.0,True,6.3516
Cr-Cr-N-OCl-F,3.152,0.0,True,6.4922
Cr-Cr-N-OCl-H,3.040,0.0,True,6.3513
Cr-Cr-N-OCl-NCO,3.090,0.0,True,5.5465
Cr-Cr-N-OCl-NCS,3.116,0.0,True,6.3515
Cr-Cr-N-OCl-O,3.031,0.0,True,5.3517
Cr-Cr-N-OCl-OCl,2.924,0.0,True,5.1365
Cr-Cr-N-OCl-OCN,3.099,0.0,True,6.3516
Cr-Cr-N-OCl-OH,3.072,0.0,True,6.1504
Cr-Cr-N-OCl-PO,3.044,0.0,True,2.0745
Cr-Cr-N-OCN-OCN,3.123,0.0,True,6.0909
Cr-Cr-N-O-F,3.172,0.385,False,6.0000
Cr-Cr-N-O-H,3.079,0.0,True,5.3441
Cr-Cr-N-OH-OCN,3.142,0.0,True,6.1808
Cr-Cr-N-OH-OH,3.038,0.0,True,5.9852
Cr-Cr-N-O-O,3.044,0.0,True,5.0000
